word, frequency
frowning, 48
undermining, 3
nicely, 1
acutely, 3
costing, 4
abrupt, 6
ecossaise, 8
salary, 4
spontaneous, 2
pretend, 5
guards, 91
sprouting, 3
nizhni, 8
blameworthy, 3
pick, 9
gloomy, 34
stonily, 1
exhaled, 1
energy, 23
deference, 5
perspired, 3
counters, 1
carabineers, 1
spreading, 18
mozhaysk, 25
alphonse, 1
forestalled, 2
avoidance, 2
exhales, 1
tallow, 4
compassionate, 2
incited, 3
snaffle, 1
dismayed, 3
protective, 1
amusing, 21
grandiloquent, 1
squatting, 5
role, 23
glade, 3
turf, 1
fearless, 3
professedly, 1
napoleonic, 8
roll, 14
turn, 107
turk, 2
gold, 43
reticule, 9
result, 73
ces, 1
pier, 1
cet, 1
pies, 1
selfish, 4
crunching, 2
after, 841
redoubt, 33
], 1
staircase, 11
kinswoman, 1
resume, 2
a, 10608
b, 13
friedland, 5
c, 19
overtaking, 7
d, 111
collisions, 1
e, 32
f, 15
tabletop, 1
laden, 4
g, 2
h, 4
i, 4541
artistic, 2
j, 4
bettah, 1
weeping, 17
k, 1
l, 46
eating, 19
m, 124
neighbor, 23
n, 25
o, 127
gripping, 2
p, 3
gwace, 1
entering, 54
avare, 1
q, 1
r, 9
s, 4417
t, 1169
u, 8
readers, 1
v, 39
enchantment, 1
sunset, 2
w, 4
x, 40
y, 9
information, 29
z, 2
reeled, 1
straining, 14
unreaped, 1
sufferer, 1
uprising, 1
good, 497
faithful, 12
empty, 37
amounted, 4
grizzled, 3
skeleton, 2
fiance, 1
suffered, 35
besides, 112
flaring, 4
copying, 7
serious, 68
disperse, 13
rome, 9
delivering, 2
pillaged, 3
adoration, 4
quickening, 2
suspecting, 1
chi, 1
lightheartedly, 1
gone, 162
walked, 70
slaying, 2
enjoined, 1
aligning, 1
disturbed, 15
raging, 1
displeased, 16
effecting, 2
rope, 2
clinging, 7
hostelry, 1
representation, 3
displeases, 1
ascent, 2
motive, 8
thieves, 3
swishing, 1
shrinks, 1
root, 5
depriving, 6
roof, 18
betted, 1
quarters, 53
chaffing, 5
rook, 8
room, 771
better, 163
poignant, 1
agwee, 1
disturber, 1
permissible, 1
goot, 3
taking, 203
mummers, 11
madmen, 1
terrifying, 3
breadth, 7
pile, 1
rasgulyay, 1
complimented, 1
tripping, 4
chilly, 2
dummy, 1
discharged, 7
uprightness, 1
flashing, 2
executor, 1
flop, 2
flow, 13
order, 295
reminds, 2
gory, 3
undignified, 1
